id,name,code,created_at,updated_at
148,19AEBR,19AEBR,2021-10-14 18:28:10.768459,2021-10-14 18:28:10.768459
149,17AEBR,17AEBR,2021-10-14 18:28:10.837172,2021-10-14 18:28:10.837172
150,16CRAI,16CRAI,2021-10-14 18:28:10.887559,2021-10-14 18:28:10.887559
151,20FBX,20FBX,2021-10-14 18:29:54.018733,2021-10-14 18:29:54.018733
152,17SITK,17SITK,2021-10-14 18:29:55.737069,2021-10-14 18:29:55.737069
153,17PTHR,17PTHR,2021-10-14 18:29:57.168626,2021-10-14 18:29:57.168626
154,18KACH,18KACH,2021-10-14 18:30:47.384649,2021-10-14 18:30:47.384649
155,19JUN,19JUN,2021-10-14 18:31:47.765406,2021-10-14 18:31:47.765406
156,15AEBR,15AEBR,2021-10-14 18:33:23.985304,2021-10-14 18:33:23.985304
157,15SAND,15SAND,2021-10-14 18:33:24.00771,2021-10-14 18:33:24.00771
158,20KOIB,20KOIB,2021-10-14 18:33:46.451727,2021-10-14 18:33:46.451727
159,16KODI,16KODI,2021-10-14 18:33:46.513521,2021-10-14 18:33:46.513521
160,19HANS,19HANS,2021-10-14 18:36:37.751894,2021-10-14 18:36:37.751894
161,19RE17,19RE17,2021-10-14 18:37:11.434016,2021-10-14 18:37:11.434016
162,16DENA,16DENA,2021-10-14 18:38:04.023043,2021-10-14 18:38:04.023043
163,19KOIB,19KOIB,2021-10-14 18:38:19.138653,2021-10-14 18:38:19.138653
164,20SITK,20SITK,2021-10-14 18:39:56.356388,2021-10-14 18:39:56.356388
165,19SITK,19SITK,2021-10-14 18:39:56.383853,2021-10-14 18:39:56.383853
166,18SITK,18SITK,2021-10-14 18:39:56.45871,2021-10-14 18:39:56.45871
167,19KTNB,19KTNB,2021-10-14 18:40:20.672028,2021-10-14 18:40:20.672028
168,17FPAS,17FPAS,2021-10-14 18:40:26.140813,2021-10-14 18:40:26.140813
169,16AEBR,16AEBR,2021-10-14 18:40:26.177391,2021-10-14 18:40:26.177391
170,15FALS,15FALS,2021-10-14 18:40:26.198924,2021-10-14 18:40:26.198924
